,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary,gender_M,ssc_b_Others,hsc_b_Others,hsc_s_Commerce,hsc_s_Science,degree_t_Others,degree_t_Sci&Tech,workex_Yes,specialisation_Mkt&HR,status_Placed
0,1,67.0,91.0,58.0,55.0,58.8,270000.0,1,1,1,1,0,0,1,0,1,1
1,2,79.33,78.33,77.48,86.5,66.28,200000.0,1,0,1,0,1,0,1,1,0,1
2,3,65.0,68.0,64.0,75.0,57.8,250000.0,1,0,0,0,0,0,0,0,0,1
3,4,56.0,52.0,52.0,66.0,59.43,,1,0,0,0,1,0,1,0,1,0
4,5,85.8,73.6,73.3,96.8,55.5,425000.0,1,0,0,1,0,0,0,0,0,1
5,6,55.0,49.8,67.25,55.0,51.58,,1,1,1,0,1,0,1,1,0,0
6,7,46.0,49.2,79.0,74.28,53.29,,0,1,1,1,0,0,0,0,0,0
7,8,82.0,64.0,66.0,67.0,62.14,252000.0,1,0,0,0,1,0,1,1,0,1
8,9,73.0,79.0,72.0,91.34,61.29,231000.0,1,0,0,1,0,0,0,0,0,1
9,10,58.0,70.0,61.0,54.0,52.21,,1,0,0,1,0,0,0,0,0,0
10,11,58.0,61.0,60.0,62.0,60.85,260000.0,1,0,0,1,0,0,0,1,1,1
11,12,69.6,68.4,78.3,60.0,63.7,250000.0,1,0,0,1,0,0,0,1,0,1
12,13,47.0,55.0,65.0,62.0,65.04,,0,0,1,0,1,0,0,0,1,0
13,14,77.0,87.0,59.0,68.0,68.63,218000.0,0,0,0,1,0,0,0,0,0,1
14,15,62.0,47.0,50.0,76.0,54.96,,1,0,0,1,0,0,0,0,1,0
15,16,65.0,75.0,69.0,72.0,64.66,200000.0,0,0,0,1,0,0,0,1,0,1
16,17,63.0,66.2,65.6,60.0,62.54,300000.0,1,0,0,1,0,0,0,1,0,1
17,18,55.0,67.0,64.0,60.0,67.28,,0,0,0,1,0,0,0,0,0,0
18,19,63.0,66.0,64.0,68.0,64.08,,0,0,0,1,0,0,0,0,1,0
19,20,60.0,67.0,70.0,50.48,77.89,236000.0,1,1,1,0,0,0,0,1,0,1
20,21,62.0,65.0,66.0,50.0,56.7,265000.0,1,1,1,1,0,0,0,0,1,1
21,22,79.0,76.0,85.0,95.0,69.06,393000.0,0,1,1,1,0,0,0,0,0,1
22,23,69.8,60.8,72.23,55.53,68.81,360000.0,0,1,1,0,1,0,1,0,1,1
23,24,77.4,60.0,64.74,92.0,63.62,300000.0,0,1,1,0,1,0,1,1,0,1
24,25,76.5,97.7,78.86,97.4,74.01,360000.0,1,1,1,0,1,0,1,0,0,1
25,26,52.58,54.6,50.2,76.0,65.33,,0,1,0,1,0,0,0,1,0,0
26,27,71.0,79.0,66.0,94.0,57.55,240000.0,1,1,1,1,0,0,0,1,0,1
27,28,63.0,67.0,66.0,68.0,57.69,265000.0,1,1,1,1,0,0,0,0,1,1
28,29,76.76,76.5,67.5,73.35,64.15,350000.0,1,1,1,1,0,0,0,1,0,1
29,30,62.0,67.0,58.0,77.0,51.29,,1,0,0,1,0,0,0,0,0,0
30,31,64.0,73.5,73.0,52.0,56.7,250000.0,0,0,0,1,0,0,0,0,1,1
31,32,67.0,53.0,65.0,64.0,58.32,,0,0,0,0,1,0,1,0,1,0
32,33,61.0,81.0,66.4,50.89,62.21,278000.0,0,0,0,1,0,0,0,0,1,1
33,34,87.0,65.0,81.0,88.0,72.78,260000.0,0,1,1,0,1,0,0,1,0,1
34,35,62.0,51.0,52.0,68.44,62.77,,1,1,1,0,1,1,0,0,1,0
35,36,69.0,78.0,72.0,71.0,62.74,300000.0,0,0,0,1,0,0,0,0,1,1
36,37,51.0,44.0,57.0,64.0,51.45,,1,0,0,1,0,0,0,0,0,0
37,38,79.0,76.0,65.6,58.0,55.47,320000.0,0,0,0,0,1,0,1,0,1,1
38,39,73.0,58.0,66.0,53.7,56.86,240000.0,0,1,1,0,1,0,0,0,1,1
39,40,81.0,68.0,64.0,93.0,62.56,411000.0,1,1,1,0,1,0,1,0,0,1
40,41,78.0,77.0,80.0,60.0,66.72,287000.0,0,0,1,1,0,0,0,0,0,1
41,42,74.0,63.16,65.0,65.0,69.76,,0,1,1,1,0,0,0,1,1,0
42,43,49.0,39.0,65.0,63.0,51.21,,1,1,0,0,1,1,0,0,0,0
43,44,87.0,87.0,68.0,95.0,62.9,300000.0,1,1,1,1,0,0,0,0,1,1
44,45,77.0,73.0,81.0,89.0,69.7,200000.0,0,1,1,1,0,0,0,1,0,1
45,46,76.0,64.0,72.0,58.0,66.53,,0,0,0,0,1,0,1,0,1,0
46,47,70.89,71.98,65.6,68.0,71.63,,0,1,1,0,1,0,0,0,1,0
